rhor,xne,xni,xte,xti,vpold,vtord,xer,,,,,,,,,,,,,,,,,,,,,,,,,
5.85E-01,5.31941E+19,3.45659E+19,1164.2006,1211.2375,-1123.3514,118933.94,32455.99,,,,,,,,,,,,,,,,,,,,,,,,,
5.90E-01,5.31473E+19,3.45818E+19,1154.429,1201.2913,-1152.4024,118205.56,32293.35,,,,,,,,,,,,,,,,,,,,,,,,,
5.95E-01,5.31078E+19,3.46027E+19,1144.6532,1191.4654,-1181.9499,117491.35,32122.261,,,,,,,,,,,,,,,,,,,,,,,,,
6.00E-01,5.30757E+19,3.46282E+19,1134.8767,1181.708,-1211.9965,116791.97,31946.65,,,,,,,,,,,,,,,,,,,,,,,,,
6.05E-01,5.30506E+19,3.46579E+19,1125.0997,1172.0542,-1242.5504,116107.02,31771.313,,,,,,,,,,,,,,,,,,,,,,,,,
6.10E-01,5.30324E+19,3.46912E+19,1115.3256,1162.51,-1273.615,115428.28,31614.359,,,,,,,,,,,,,,,,,,,,,,,,,
6.15E-01,5.30209E+19,3.47278E+19,1105.555,1153.0329,-1305.1941,114764.83,31449.856,,,,,,,,,,,,,,,,,,,,,,,,,
6.20E-01,5.30159E+19,3.47672E+19,1095.7901,1143.644,-1337.2919,114116.57,31282.965,,,,,,,,,,,,,,,,,,,,,,,,,
6.25E-01,5.30173E+19,3.48089E+19,1086.0356,1134.3537,-1369.9127,113483.36,31111.517,,,,,,,,,,,,,,,,,,,,,,,,,
6.30E-01,5.30248E+19,3.48526E+19,1076.2875,1125.1282,-1403.049,112859.97,30947.914,,,,,,,,,,,,,,,,,,,,,,,,,
6.35E-01,5.30383E+19,3.48977E+19,1066.5531,1115.9767,-1436.7165,112246.53,30793.791,,,,,,,,,,,,,,,,,,,,,,,,,
6.40E-01,5.30575E+19,3.49437E+19,1056.8345,1106.9128,-1470.9195,111647.4,30635.67,,,,,,,,,,,,,,,,,,,,,,,,,
6.45E-01,5.30823E+19,3.49904E+19,1047.1279,1097.9102,-1505.6622,111061.6,30475.372,,,,,,,,,,,,,,,,,,,,,,,,,
6.50E-01,5.31125E+19,3.50371E+19,1037.4428,1088.9685,-1540.9489,110488.15,30306.618,,,,,,,,,,,,,,,,,,,,,,,,,
6.55E-01,5.31479E+19,3.50835E+19,1027.7769,1080.1035,-1576.7833,109920.55,30149.605,,,,,,,,,,,,,,,,,,,,,,,,,
6.60E-01,5.31884E+19,3.51291E+19,1018.131,1071.295,-1613.1697,109361.13,29977.926,,,,,,,,,,,,,,,,,,,,,,,,,
6.65E-01,5.32326E+19,3.51702E+19,1008.5144,1062.5354,-1650.1175,108812.94,29806.082,,,,,,,,,,,,,,,,,,,,,,,,,
6.70E-01,5.32739E+19,3.51822E+19,998.91856,1053.8417,-1687.6302,108274.91,29629.967,,,,,,,,,,,,,,,,,,,,,,,,,
6.75E-01,5.33229E+19,3.51954E+19,989.35334,1045.1989,-1725.6842,107745.99,29451.002,,,,,,,,,,,,,,,,,,,,,,,,,
6.80E-01,5.33789E+19,3.52101E+19,979.82222,1036.594,-1764.3107,107222.36,29272.696,,,,,,,,,,,,,,,,,,,,,,,,,
6.85E-01,5.3441E+19,3.52268E+19,970.31642,1028.0441,-1803.5142,106703.09,29103.806,,,,,,,,,,,,,,,,,,,,,,,,,
6.90E-01,5.35086E+19,3.5246E+19,960.85229,1019.5381,-1843.2988,106191.94,28928.881,,,,,,,,,,,,,,,,,,,,,,,,,
6.95E-01,5.35807E+19,3.5268E+19,951.42156,1011.0605,-1883.6688,105687.85,28752.308,,,,,,,,,,,,,,,,,,,,,,,,,
7.00E-01,5.36568E+19,3.52933E+19,942.02911,1002.627,-1924.6286,105189.76,28572.054,,,,,,,,,,,,,,,,,,,,,,,,,
7.05E-01,5.37359E+19,3.53224E+19,932.6867,994.22781,-1966.154,104696.59,28388.941,,,,,,,,,,,,,,,,,,,,,,,,,
7.10E-01,5.38173E+19,3.53556E+19,923.37439,985.8505,-2008.2774,104203.95,28213.514,,,,,,,,,,,,,,,,,,,,,,,,,
7.15E-01,5.39003E+19,3.53934E+19,914.11672,977.50595,-2051.0026,103716.41,28033.422,,,,,,,,,,,,,,,,,,,,,,,,,
7.20E-01,5.3984E+19,3.54362E+19,904.90506,969.18549,-2094.3342,103232.88,27853.878,,,,,,,,,,,,,,,,,,,,,,,,,
7.25E-01,5.40677E+19,3.54845E+19,895.74074,960.88054,-2138.2842,102752.29,27639.532,,,,,,,,,,,,,,,,,,,,,,,,,
7.30E-01,5.41506E+19,3.55387E+19,886.63994,952.59717,-2182.8242,102273.57,27419.695,,,,,,,,,,,,,,,,,,,,,,,,,
7.35E-01,5.4232E+19,3.55992E+19,877.5776,944.32729,-2227.9737,101795.52,27199.556,,,,,,,,,,,,,,,,,,,,,,,,,
7.40E-01,5.4311E+19,3.56664E+19,868.58323,936.06693,-2273.7529,101318.98,26980.644,,,,,,,,,,,,,,,,,,,,,,,,,
7.45E-01,5.43893E+19,3.57372E+19,859.64591,927.81666,-2320.1663,100843.23,26759.148,,,,,,,,,,,,,,,,,,,,,,,,,
7.50E-01,5.4477E+19,3.5799E+19,850.76726,919.57011,-2367.2017,100366.92,26529.808,,,,,,,,,,,,,,,,,,,,,,,,,
7.55E-01,5.45665E+19,3.58655E+19,841.96291,911.32595,-2414.8531,99888.743,26292.101,,,,,,,,,,,,,,,,,,,,,,,,,
