rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
1.15E-01,4.28E+19,4.13E+19,1.30E+03,1.30E+03,3.09E+03,1.81E+18,2.50E-02,0.97742194,1.404324324,-1.14E+01,2.33E+04,0.94304138,4.10E-01,6
1.20E-01,4.26E+19,4.11E+19,1.30E+03,1.30E+03,3.23E+03,1.81E+18,2.50E-02,0.9165538,1.328512821,-1.29E+01,2.33E+04,0.88649279,4.15E-01,6
1.25E-01,4.25E+19,4.10E+19,1.29E+03,1.29E+03,3.35E+03,1.80E+18,2.50E-02,0.84397292,1.2914,-1.46E+01,2.33E+04,0.81783015,4.19E-01,6
1.30E-01,4.23E+19,4.08E+19,1.29E+03,1.29E+03,3.46E+03,1.80E+18,2.50E-02,0.78434461,1.256,-1.64E+01,2.33E+04,0.76195472,4.24E-01,6
1.35E-01,4.22E+19,4.06E+19,1.28E+03,1.28E+03,3.57E+03,1.79E+18,2.50E-02,0.74211371,1.222190476,-1.84E+01,2.33E+04,0.72312808,4.28E-01,6
1.40E-01,4.20E+19,4.04E+19,1.28E+03,1.28E+03,3.68E+03,1.78E+18,2.50E-02,0.71009833,0.872113636,-2.05E+01,2.33E+04,0.69453269,4.33E-01,6
1.45E-01,4.18E+19,4.02E+19,1.27E+03,1.27E+03,3.78E+03,1.78E+18,2.50E-02,0.6896562,1.133066667,-2.28E+01,2.33E+04,0.6774804,4.37E-01,6
1.50E-01,4.17E+19,4.00E+19,1.27E+03,1.26E+03,3.89E+03,1.77E+18,2.50E-02,0.67817599,1.081021277,-2.52E+01,2.33E+04,0.66955084,4.42E-01,6
1.55E-01,4.15E+19,3.98E+19,1.27E+03,1.26E+03,4.01E+03,1.76E+18,2.50E-02,0.66815519,1.077021277,-2.78E+01,2.33E+04,0.66292793,4.46E-01,6
1.60E-01,4.13E+19,3.96E+19,1.26E+03,1.25E+03,4.12E+03,1.76E+18,2.50E-02,0.65647817,1.02922449,-3.06E+01,2.33E+04,0.65494007,4.51E-01,6
1.65E-01,4.12E+19,3.94E+19,1.26E+03,1.25E+03,4.23E+03,1.75E+18,2.50E-02,0.6421172,1.00472,-3.36E+01,2.33E+04,0.64408469,4.56E-01,6
1.70E-01,4.10E+19,3.92E+19,1.25E+03,1.24E+03,4.34E+03,1.74E+18,2.50E-02,0.62464583,0.981098039,-3.67E+01,2.33E+04,0.63010973,4.61E-01,6
1.75E-01,4.08E+19,3.90E+19,1.25E+03,1.23E+03,4.45E+03,1.74E+18,2.50E-02,0.60540241,0.958307692,-4.01E+01,2.33E+04,0.61435843,4.65E-01,6
1.80E-01,4.06E+19,3.88E+19,1.24E+03,1.23E+03,4.56E+03,1.73E+18,2.50E-02,0.58856088,0.936301887,-4.36E+01,2.33E+04,0.60088527,4.70E-01,6
1.85E-01,4.05E+19,3.86E+19,1.24E+03,1.22E+03,4.66E+03,1.72E+18,2.50E-02,0.57363421,0.915037037,-4.73E+01,2.33E+04,0.58944905,4.75E-01,6
1.90E-01,4.03E+19,3.83E+19,1.23E+03,1.21E+03,4.76E+03,1.71E+18,2.50E-02,0.56055993,0.8785,-5.13E+01,2.33E+04,0.5800035,4.80E-01,6
1.95E-01,4.01E+19,3.81E+19,1.22E+03,1.20E+03,4.86E+03,1.71E+18,2.50E-02,0.54887491,0.8745,-5.54E+01,2.33E+04,0.57197207,4.84E-01,6
2.00E-01,3.99E+19,3.79E+19,1.22E+03,1.20E+03,4.95E+03,1.70E+18,2.50E-02,0.537866,0.630362069,-5.98E+01,2.33E+04,0.56456542,4.89E-01,6
2.05E-01,3.97E+19,3.77E+19,1.21E+03,1.19E+03,5.05E+03,1.69E+18,2.50E-02,0.52714324,0.836482759,-6.44E+01,2.33E+04,0.55747968,4.94E-01,6
2.10E-01,3.95E+19,3.74E+19,1.21E+03,1.18E+03,5.14E+03,1.68E+18,2.50E-02,0.51617551,0.818372881,-6.92E+01,2.33E+04,0.55026233,4.99E-01,6
2.15E-01,3.94E+19,3.72E+19,1.20E+03,1.17E+03,5.24E+03,1.67E+18,2.50E-02,0.50550586,0.787672131,-7.43E+01,2.33E+04,0.54330826,5.05E-01,6
2.20E-01,3.92E+19,3.70E+19,1.20E+03,1.17E+03,5.33E+03,1.67E+18,2.50E-02,0.49571612,0.783672131,-7.96E+01,2.34E+04,0.53734338,5.10E-01,6
2.25E-01,3.90E+19,3.67E+19,1.19E+03,1.16E+03,5.42E+03,1.66E+18,2.50E-02,0.48614985,0.767096774,-8.52E+01,2.34E+04,0.53166062,5.15E-01,6
2.30E-01,3.88E+19,3.65E+19,1.18E+03,1.15E+03,5.50E+03,1.65E+18,2.50E-02,0.47708419,0.73925,-9.10E+01,2.34E+04,0.5265801,5.20E-01,6
2.35E-01,3.86E+19,3.63E+19,1.18E+03,1.14E+03,5.59E+03,1.64E+18,2.50E-02,0.46855262,0.73525,-9.70E+01,2.34E+04,0.52208686,5.25E-01,6
2.40E-01,3.84E+19,3.60E+19,1.17E+03,1.13E+03,5.67E+03,1.63E+18,2.50E-02,0.46032053,0.72,-1.03E+02,2.34E+04,0.51804698,5.31E-01,6
2.45E-01,3.82E+19,3.58E+19,1.16E+03,1.12E+03,5.75E+03,1.62E+18,2.50E-02,0.45233497,0.716,-1.10E+02,2.34E+04,0.5146212,5.36E-01,6
2.50E-01,3.80E+19,3.56E+19,1.16E+03,1.12E+03,5.83E+03,1.61E+18,2.50E-02,0.44468918,0.690746269,-1.17E+02,2.34E+04,0.51172668,5.42E-01,6
2.55E-01,3.78E+19,3.54E+19,1.15E+03,1.11E+03,5.91E+03,1.61E+18,2.50E-02,0.43707088,0.515059701,-1.24E+02,2.34E+04,0.50900036,5.47E-01,6
2.60E-01,3.76E+19,3.51E+19,1.14E+03,1.10E+03,5.98E+03,1.60E+18,2.50E-02,0.43011439,0.672705882,-1.31E+02,2.34E+04,0.50731927,5.53E-01,6
