rhor,er,er_sc,ne,ne_sc,ni,ni_sc,te,te_sc,ti,ti_sc
0.908,26.33393,0.0266,0.61286,0.65338,0.13901,-0.32593,0.64468,0.07115,0.84522,0.0801
0.909,25.99676,0.02575,0.61254,0.62902,0.13917,-0.27999,0.64161,0.07048,0.84165,0.07955
0.91,25.6514,0.02494,0.6122,0.60472,0.13935,-0.24401,0.63852,0.06983,0.83807,0.07902
0.911,25.30287,0.02431,0.61185,0.58011,0.13955,-0.21528,0.63544,0.06918,0.83449,0.0785
0.912,24.95052,0.02361,0.61149,0.55618,0.13978,-0.19196,0.63234,0.0686,0.83091,0.07807
0.913,24.59221,0.0229,0.61112,0.53146,0.14004,-0.17239,0.62924,0.06793,0.82733,0.07755
0.914,24.22981,0.02224,0.61072,0.50663,0.14033,-0.15584,0.62612,0.06721,0.82375,0.07698
0.915,23.86295,0.02162,0.61031,0.48279,0.14064,-0.14194,0.623,0.06658,0.82017,0.07652
0.916,23.49206,0.02098,0.60988,0.45877,0.14099,-0.12988,0.61987,0.06589,0.81659,0.076
0.917,23.11611,0.02032,0.60942,0.43538,0.14137,-0.11945,0.61673,0.06519,0.81301,0.0755
0.918,22.73487,0.01974,0.60894,0.4124,0.14178,-0.11036,0.61357,0.0645,0.80942,0.07502
0.919,22.35127,0.01916,0.60844,0.39004,0.14222,-0.10222,0.61041,0.06378,0.80584,0.07452
0.92,21.96174,0.01848,0.60791,0.36815,0.1427,-0.09453,0.60723,0.06305,0.80226,0.07401
0.921,21.56549,0.01795,0.60735,0.3472,0.14322,-0.08703,0.60404,0.06232,0.79867,0.07354
0.922,21.16854,0.01781,0.60676,0.32689,0.14379,-0.0798,0.60083,0.06159,0.79509,0.07306
0.923,20.78235,0.01749,0.60613,0.30729,0.14441,-0.07298,0.59761,0.06081,0.7915,0.07257
0.924,20.38724,0.01695,0.60546,0.28833,0.14509,-0.06665,0.59437,0.06,0.78791,0.07205
0.925,19.99346,0.01642,0.60475,0.27037,0.14583,-0.06091,0.59111,0.05919,0.78433,0.07156
0.926,19.59058,0.01568,0.60399,0.25327,0.14665,-0.05573,0.58783,0.05838,0.78074,0.07109
0.927,19.17706,0.01516,0.60319,0.23677,0.14755,-0.05101,0.58454,0.05749,0.77715,0.07055
0.928,18.76667,0.01466,0.60234,0.2212,0.14854,-0.04681,0.58121,0.0566,0.77356,0.07004
0.929,18.34555,0.0139,0.60142,0.20637,0.14962,-0.04303,0.57786,0.05568,0.76998,0.06951
0.93,17.91146,0.01339,0.60045,0.1924,0.15079,-0.03966,0.57449,0.05473,0.76639,0.06898
0.931,17.48147,0.01309,0.59941,0.17942,0.15207,-0.03669,0.57108,0.05382,0.7628,0.06852
