rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
4.80E-01,5.61E+19,3.60E+19,1365.3637,1448.7864,35936.703,1.96E+19,0.025,0.31454563,0.40889005,-620.54424,136392.24,0.54118419
4.85E-01,5.59E+19,3.58E+19,1356.0792,1436.0693,35791.656,1.95E+19,0.025,0.31372309,0.40268727,-640.13727,135487.51,0.59316903
4.90E-01,5.57E+19,3.57E+19,1346.7633,1423.5143,35648.949,1.95E+19,0.025,0.3133443,0.39692603,-660.13944,134585.23,0.65350252
4.95E-01,5.54E+19,3.55E+19,1337.4006,1411.0581,35497.772,1.94E+19,0.025,0.3130033,0.3910937,-680.55485,133689.75,0.7226584
5.00E-01,5.53E+19,3.54E+19,1327.9943,1398.7655,35340.118,1.94E+19,0.025,0.31286001,0.38533127,-701.38772,132801.7,0.8024376
5.05E-01,5.51E+19,3.53E+19,1318.5659,1386.652,35176.09,1.93E+19,0.025,0.31294063,0.37975009,-722.6423,131920.63,0.89493638
5.10E-01,5.49E+19,3.52E+19,1309.1007,1374.6395,35014.801,1.92E+19,0.025,0.31288573,0.37412434,-744.32282,131043.48,1.0014244
5.15E-01,5.47E+19,3.51E+19,1299.597,1362.8064,34846.016,1.92E+19,0.025,0.31296423,0.368841,-766.43352,130174.67,1.1246339
5.20E-01,5.46E+19,3.50E+19,1290.066,1351.1485,34670.166,1.91E+19,0.025,0.3130179,0.36365306,-788.97075,129314.81,1.266344
5.25E-01,5.44E+19,3.49E+19,1280.5114,1339.5787,34493.664,1.90E+19,0.025,0.31292248,0.35842872,-811.94645,128462.02,1.434188
5.30E-01,5.43E+19,3.49E+19,1270.924,1328.18,34315.35,1.90E+19,0.025,0.31275371,0.35326313,-835.36487,127614.96,1.6451205
5.35E-01,5.41E+19,3.48E+19,1261.3088,1316.9459,34151.249,1.89E+19,0.025,0.31252757,0.34816839,-859.23026,126777.71,1.916978
5.40E-01,5.40E+19,3.47E+19,1251.6791,1305.793,33984.047,1.88E+19,0.025,0.31232139,0.34327347,-883.54518,125950.95,2.2806258
5.45E-01,5.39E+19,3.47E+19,1242.0224,1294.8,33819.992,1.87E+19,0.025,0.31223124,0.3386234,-908.31587,125131.55,2.7925644
